,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
0,1899,7,19,0.7,13793,3
1,2353,8,21,0.7,13076,10
2,2415,7,18,0.7,14062,18
3,2644,8,18,0.7,16944,26
4,2790,8,15,0.8,21533,33
5,3537,9,12,0.9,34599,41
6,3292,10,19,0.9,24112,48
7,3106,9,24,0.9,16983,56
8,2958,8,18,0.9,19515,64
9,3111,8,20,0.9,18300,60
10,2743,6,23,0.9,13059,57
11,2833,9,25,0.9,17330,54
12,2293,10,29,0.9,15368,50
13,2484,9,32,0.9,13586,47
14,2826,8,23,0.9,15934,44
15,2986,8,21,0.9,17432,42
16,3050,8,23,0.9,16544,40
17,3056,9,29,0.9,14593,38
18,3183,9,32,0.9,13296,36
19,3231,9,30,0.9,14593,36
20,3168,10,30,0.9,15020,35
21,3185,8,32,0.9,12475,35
22,2767,7,32,0.9,10758,35
23,2680,9,26,0.9,15644,35
24,2806,9,23,0.9,17646,35
25,2955,10,32,0.9,14079,35
26,2955,9,31,0.9,13244,35
27,3297,10,27,0.9,16651,34
28,3531,9,22,0.9,19748,34
29,3299,10,28,0.9,16547,33
30,3157,10,30,0.9,15019,32
31,3231,11,35,1.0,16013,32
32,3569,9,18,1.0,26605,31
33,3355,11,35,1.0,16870,30
34,2876,11,33,1.0,17331,30
35,3155,11,36,1.0,15976,30
36,3036,11,37,1.0,15934,30
37,3357,11,29,1.0,19736,30
38,3299,11,36,1.0,15595,30
39,3221,11,31,1.0,18005,29
40,3453,12,30,1.0,20576,27
41,3637,11,32,0.9,16664,26
42,3508,11,32,0.9,16231,25
43,3637,11,26,1.0,21994,23
44,3601,11,33,0.9,16172,23
45,3588,11,32,0.9,16244,23
46,3344,11,33,0.9,15729,24
47,3821,10,24,0.9,20396,24
48,3756,10,24,0.9,19288,24
49,3347,10,19,0.9,24122,22
50,3760,11,20,0.9,25648,21
51,3215,13,29,0.9,20064,20
52,3365,13,33,0.9,17726,18
53,3335,13,33,0.9,17720,17
54,3358,11,25,1.0,22801,16
55,3514,11,30,1.1,21512,16
56,3771,12,34,1.1,20516,15
57,3305,12,36,1.1,19332,14
58,3410,12,40,1.1,17474,14
59,3527,12,29,1.1,23344,13
60,3646,11,30,1.0,18660,13
61,3540,12,40,1.0,15231,12
62,3628,11,40,1.0,14881,12
63,3013,12,35,0.9,15557,11
64,3406,11,32,0.9,16624,12
65,3292,10,31,0.9,15424,12
66,3889,11,27,0.9,18702,13
67,3859,12,30,0.9,18210,13
68,3842,13,35,0.9,16829,14
69,3564,11,32,0.9,15829,13
70,3483,11,32,0.9,16226,11
71,3279,11,30,0.9,16794,10
72,3767,11,29,0.9,17438,9
73,2916,13,31,1.0,20781,7
74,3279,12,29,0.9,18714,9
75,3151,12,34,0.9,16411,11
76,3312,11,41,0.9,12767,12
77,3407,10,37,0.9,12680,14
78,3421,11,43,0.9,12525,16
79,3179,11,31,0.9,16253,15
80,3550,10,28,0.9,16590,15
81,3703,10,33,0.9,14595,15
82,3224,11,36,0.9,14080,15
83,3017,11,42,0.9,12426,15
84,3236,13,51,0.9,11911,14
85,3584,13,37,0.9,16266,13
86,3543,12,31,0.9,18438,12
87,3719,13,23,0.9,25812,11
88,2952,14,32,0.9,20245,10
89,3405,13,31,0.9,20112,9
90,3608,13,33,0.9,18166,9
91,3624,12,27,1.0,23366,9
92,2981,13,30,1.0,22930,8
93,3376,13,33,1.0,20518,8
94,3080,12,32,1.0,19719,8
95,3214,13,39,1.0,17049,8
96,3200,13,37,1.0,17938,7
97,3081,14,43,1.0,16511,7
98,3087,13,36,1.0,18807,7
99,3656,13,28,1.0,23604,7
100,3393,13,38,1.0,18283,7
101,3128,12,37,1.0,17135,6
102,3117,12,37,1.0,17133,6
103,2918,14,39,1.0,18122,6
104,3078,13,41,1.0,16934,6
105,3226,13,39,1.0,17051,5
106,3369,13,35,1.0,19378,5
107,3406,13,41,1.0,15921,4
108,3422,13,40,1.0,17038,4
109,3392,13,41,1.0,16988,4
110,3247,13,39,1.0,17804,5
111,3153,13,35,1.0,19340,5
112,3617,13,31,1.0,20903,5
113,3364,13,31,1.0,21330,5
114,3366,14,35,1.0,20213,7
115,3491,13,37,1.0,18383,8
116,3034,13,33,1.0,19573,9
117,3231,13,35,1.0,18519,11
118,3527,12,41,1.0,14872,12
119,3491,13,36,1.0,18877,12
120,3675,14,38,1.0,19101,12
121,3598,15,25,1.0,29858,12
122,3796,15,33,1.0,23249,12
123,4021,13,31,1.0,20973,13
124,3599,13,32,1.0,20723,12
125,3389,13,28,1.0,24602,10
126,3554,13,32,1.0,21629,9
127,3554,13,26,1.0,25353,8
128,3901,14,31,1.0,23781,7
129,3450,14,35,1.0,21062,6
130,3643,14,35,1.0,20678,5
131,3072,13,35,1.0,19744,5
132,3426,14,35,1.0,20223,4
133,3578,14,37,1.0,19188,3
134,3328,14,35,1.0,21041,6
135,3130,13,35,1.0,18919,7
136,3928,11,26,1.0,22607,9
137,3264,12,35,1.0,18107,10
138,3158,13,33,1.0,20037,11
139,3373,13,36,1.0,19263,13
140,3183,14,34,1.0,20758,14
141,2954,14,38,1.0,19361,15
142,3119,14,30,1.0,23441,17
143,3502,16,36,1.0,22533,16
144,3558,13,34,1.0,19963,16
145,3475,13,38,1.0,18297,15
146,3457,14,42,1.0,17305,15
147,3541,13,30,1.0,21566,15
148,3837,13,29,1.0,22843,14
149,3455,14,34,1.0,21665,14
150,3380,14,37,1.0,19154,14
151,3690,13,32,1.0,21652,14
152,3684,13,32,1.0,21651,13
153,3493,14,38,1.0,19070,13
154,3956,14,31,1.0,23319,13
155,3401,14,32,1.0,22516,12
156,3285,13,34,1.0,19056,12
157,3012,12,34,1.0,18579,12
158,3122,14,35,1.0,21006,11
159,3159,13,29,0.9,21415,9
160,3494,15,27,0.9,24968,8
161,2976,12,27,1.0,23254,6
162,2837,9,30,0.9,14086,5
163,2776,8,34,0.9,11315,6
164,2895,9,29,0.9,14565,7
165,2902,10,32,0.9,14892,8
166,2778,11,28,0.9,18806,9
167,2972,12,31,0.9,17490,10
168,2874,11,33,0.9,15248,10
169,2902,9,36,0.9,11832,11
170,2889,12,33,0.9,16846,11
171,2804,9,35,0.9,12138,11
172,2805,9,35,0.9,12139,11
173,2707,11,29,0.9,17254,8
174,2613,10,36,0.9,13243,4
175,2665,8,29,0.9,12257,1
176,2928,12,37,0.8,13466,6
177,2978,13,33,0.9,18057,5
178,2848,14,37,0.9,17205,3
179,2914,10,37,0.9,12239,1
180,3053,14,33,0.9,19665,2
181,2960,13,34,0.9,18312,3
182,3442,13,33,1.0,19644,4
183,3144,13,30,1.0,21984,5
184,2912,12,35,0.9,16292,7
185,2933,10,33,0.9,14461,5
186,3843,13,34,0.9,18465,3
187,3147,14,38,0.9,17163,1
188,3235,14,34,0.9,18747,0
189,3571,13,31,0.9,18867,2
190,3147,11,37,0.9,13701,1
191,3512,9,27,0.9,16201,4
192,3632,13,32,0.9,19130,8
193,3271,14,42,0.9,15602,11
194,3646,12,34,0.9,16496,15
195,3747,15,39,0.9,17516,16
196,3725,13,29,1.0,23328,18
197,3630,14,39,1.0,18620,20
198,3101,16,39,1.0,21152,22
199,3525,13,37,1.0,18784,24
200,3614,12,35,1.0,17332,23
201,3313,14,24,0.8,23962,23
202,3004,15,30,0.9,22447,23
203,3634,13,27,0.9,23043,22
204,3378,13,30,0.9,19442,21
205,3338,12,27,0.9,20556,21
206,3856,13,23,0.9,25836,21
207,3346,13,24,0.9,24151,21
208,3560,13,24,0.9,25284,22
209,3218,14,25,0.9,26343,22
210,2999,13,24,0.9,25735,23
211,3373,14,22,0.9,29886,23
212,3361,14,22,0.9,29884,24
213,3572,13,23,0.9,26358,24
214,3390,13,25,0.9,24268,25
215,3460,13,24,1.0,28007,25
216,3538,13,27,1.0,25517,26
217,3873,14,26,1.0,27095,26
218,3887,14,23,1.0,31815,26
219,3849,15,24,1.0,31120,27
220,3776,16,26,1.0,31576,27
221,3724,16,21,1.0,38233,27
222,3950,17,23,1.0,36910,27
223,3651,15,25,1.0,29868,27
224,3920,16,23,1.0,35634,27
225,3384,14,24,1.0,29821,28
226,3363,13,28,1.0,23031,28
227,3393,14,26,1.0,27012,28
228,3279,12,30,1.0,20058,28
229,3581,13,27,1.0,23900,28
230,3709,12,27,1.0,23381,29
231,3819,12,25,1.0,24635,29
232,2988,12,27,1.0,23256,29
233,3355,12,27,1.0,22237,29
234,4057,13,22,1.0,31267,29
